Date,Tweet,User,Location,Belief,Keywords_used
11/16/2020,If you havent yet checked out my new video yet Ill leave the link below Leave a like and a comment mondaythoughts Corona aviation Vlog YouTube Link,b'GloverDavid195',"b'Mankato, MN'",.,keywords
11/16/2020,Elon musk was tested both positive and negative for corona same dayso whats going on with the tests,b'_Lion_ie',b'Chicago IL',.,keywords
11/16/2020,A wonderful and beautiful day regarding a second Corona vaccine,b'John73997236',"b'Los Angeles, CA'",.,keywords
11/16/2020,Translated from German by GoogleI dont know when I last started a week so unmotivated This constant bombardment with this mixture of Corona Nazis Covidiotes catastrophes and war gnaws at meDo you know that or can you hide it How do you regenerate,b'dadiniowa',"b'Waterloo, Iowa'",.,keywords
11/16/2020,daniscorgis Adam20073132780 PleaseVoteUSA lauralovespeace IlhanMN No Trump divided this country That and the corona failure will forever be remembered as his legacy,b'ialhusseini',"b'Los Angeles, CA'",.,keywords
11/16/2020,Same people yelling at everyone bout masks and corona happen to be the same ones going to big parties with no masks cause they think they Gonna be legends in the future,b'ItsJade_Linda',"b'Kanker, India'",.,keywords
11/16/2020,Adding 2000 residents over a period of 20 years is a bad thing Are we all just waiting for boomers to die to open up some housing stock Is this why young people wont stay home and are acting like Corona doesnt exist,b'maggie_stanley',b'',.,keywords
11/16/2020,Victoriaazare16 So I guess that the corona virus has how do I say messed up everything for you on the tennis circuit but now you are starting to play now but with safety measuresGood luck in French Open and hope youre ready for clayMark James,b'MarkJam32511785',"b'Shreveport, LA'",.,keywords
11/16/2020,GinoR You said you was gonna make your self catch corona and die if I didnt You wanted me to have your ghost haunt me no thanks,b'NeverShoutBby_',b'Lost At Sea',.,keywords
11/16/2020,Ill never forget the other day I saw this woman protesting outside of school saying she wanted face to face classes and I yelled out the window that her and her children were gonna get corona,b'jesuisaeri',b'Chipotle',.,keywords
